id,name,country_id
53,Celtic,1161
62,Rangers,1161
66,Hibernian,1161
85,FC København,320
86,Silkeborg IF,320
144,Ayr United,1161
180,Kilmarnock,1161
190,Raith Rovers,1161
211,Horsens,320
246,Ross County,1161
258,Livingston,1161
265,Inverness CT,1161
273,Aberdeen,1161
282,Dundee United,1161
284,Dundee,1161
288,Dunfermline Athletic,1161
293,Brøndby IF,320
309,Motherwell,1161
314,Hearts,1161
338,Hamilton Academical,1161
339,Partick Thistle,1161
372,Greenock Morton,1161
390,Sønderjyske Fodbold,320
496,St. Mirren,1161
734,St. Johnstone,1161
